country_name,GWn,GWc,regex,region,continent,GW_startdate,GW_enddate,microstate,GW_membership,cown,cowc,polity_ccode,polity_country,polity_startdate,polity_enddate,num_periods,problem_history,lon,lat,cow_startdate,cow_enddate
Ecuador,130,ECU,ecuador,South America,Americas,1830-05-13,NA,FALSE,TRUE,130,ECU,130,Ecuador,1830-05-13,NA,1,FALSE,-78.183406,-1.831239,1830-05-13,NA
Peru,135,PER,peru,South America,Americas,1824-12-09,NA,FALSE,TRUE,135,PER,135,Peru,1821-07-28,NA,1,FALSE,-75.015152,-9.189967,1824-12-09,NA
Brazil,140,BRA,brazil,South America,Americas,1822-09-07,NA,FALSE,TRUE,140,BRA,140,Brazil,1824-03-25,NA,1,FALSE,-51.92528,-14.235004,1822-09-07,NA
Bolivia,145,BOL,bolivia,South America,Americas,1825-08-06,NA,FALSE,TRUE,145,BOL,145,Bolivia,1825-08-06,NA,1,FALSE,-63.588653,-16.290154,1825-08-06,NA
Paraguay,150,PAR,paraguay,South America,Americas,1816-01-01,NA,FALSE,TRUE,150,PAR,150,Paraguay,1811-05-14,NA,1,FALSE,-58.443832,-23.442503,1811-05-14,NA
Chile,155,CHL,\bchile,South America,Americas,1818-04-01,NA,FALSE,TRUE,155,CHL,155,Chile,1818-02-12,NA,1,FALSE,-71.542969,-35.675147,1818-04-01,NA
Argentina,160,ARG,argentin,South America,Americas,1816-07-09,NA,FALSE,TRUE,160,ARG,160,Argentina,1825-01-23,NA,1,FALSE,-63.616672,-38.416097,1816-07-09,NA
Uruguay,165,URU,uruguay,South America,Americas,1830-05-26,NA,FALSE,TRUE,165,URU,165,Uruguay,1830-05-26,NA,1,FALSE,-55.765835,-32.522779,1830-05-26,NA
United Kingdom,200,UKG,united.?kingdom|britain|^u\.?k\.?$,Northern Europe,Europe,1816-01-01,NA,FALSE,TRUE,200,UKG,200,United Kingdom,1800-01-01,NA,1,FALSE,-3.435973,55.378051,1800-01-01,NA
Ireland,205,IRE,^(?!.*\bn).*ireland,Northern Europe,Europe,1921-12-06,NA,FALSE,TRUE,205,IRE,205,Ireland,1921-12-06,NA,1,FALSE,-8.24389,53.41291,1921-12-06,NA
