country,regime,start,end
Haiti,A,1815,1990
Haiti,T,1990,1991
Haiti,S,1991,1991
Haiti,A,1991,1994
Haiti,S,1994,1998
Honduras,A,1838,1949
Honduras,S,1949,1954
Honduras,A,1954,1957
Honduras,S,1957,1963
Honduras,A,1963,1982
Honduras,S,1982,1996 
Honduras,D,1996,1998
Jamaica,D,1962,1998
Mexico,A,1821,1988
Mexico,S,1988,1997
Mexico,D,1997,1998
Nicaragua,A,1838,1989
Nicaragua,T,1989,1990
Nicaragua,D,1990,1998
Panama,A,1903,1989
Panama,S,1989,1994
Panama,D,1994,1998
Paraguay,A,1815,1989
Paraguay,T,1989,1989
Paraguay,S,1989,1993
Paraguay,D,1993,1998
Peru,A,1824,1945
Peru,S,1945,1948
Peru,A,1948,1956
Peru,S,1956,1962
Peru,A,1962,1963
Peru,S,1963,1968
Peru,A,1968,1977
Peru,T,1977,1980
Peru,D,1980,1992
Peru,A,1992,1995
Peru,S,1995,1998
Trinidad and Tobago,D,1962,1998
Uruguay,A,1828,1904
Uruguay,S,1904,1918
Uruguay,D,1918,1933
Uruguay,A,1933,1934
Uruguay,D,1934,1973
Uruguay,T,1973,1973
Uruguay,A,1973,1981
Uruguay,T,1981,1985
Uruguay,D,1985,1998
Venezuela,A,1830,1945
Venezuela,T,1945,1947
Venezuela,D,1947,1948
Venezuela,A,1948,1958
Venezuela,T,1958,1959
Venezuela,D,1959,1998
Algeria,A,1962,1988
Algeria,T,1988,1990
Algeria,S,1990,1992
Algeria,A,1992,1998
Egypt,A,1922,1998
Iran,A,1906,1998
Iraq,A,1932,1998
Israel,T,1948,1949
Israel,D,1949,1998
Jordan,A,1946,1998
Kuwait,A,1961,1998
Lebanon,S,1943,1975
Lebanon,A,1975,1989
Lebanon,T,1989,1992
Lebanon,S,1992,1998
Libya,A,1951,1998
Morocco,A,1956,1998
Morocco,S,1998,1998
Saudi Arabia,A,1932,1998
Sudan,S,1955,1958
Sudan,A,1958,1964
Sudan,T,1964,1965
Sudan,S,1965,1969
Sudan,A,1969,1985
Sudan,T,1985,1986
Sudan,S,1986,1989
Sudan,A,1989,1998
Syria,A,1946,1998
Tunisia,A,1956,1998
Turkey,S,1921,1925
Turkey,A,1925,1945
Turkey,T,1945,1950
Turkey,D,1950,1957
Turkey,S,1957,1960
Turkey,A,1960,1961
Turkey,D,1961,1971
Turkey,A,1971,1974
Turkey,D,1974,1980
Turkey,A,1980,1982
Turkey,T,1982,1983
Turkey,S,1983,1998
United Arab Emirates,A,1971,1998
Yemen Arab Republic,A,1918,1998
Yemen People's Democratic Republic of,A,1967,1990
Afghanistan,A,1747,1998
Bangladesh,A,1971,1972
Bangladesh,T,1972,1973
Bangladesh,S,1973,1974
Bangladesh,A,1974,1978
Bangladesh,T,1978,1979
Bangladesh,S,1979,1982
Bangladesh,A,1982,1990
Bangladesh,T,1990,1991
Bangladesh,S,1991,1998
Bhutan,A,1907,1998
India,A,1947,1952
India,D,1952,1975
India,A,1975,1977
India,T,1977,1977
India,D,1977,1998
Nepal,A,1767,1990
Nepal,T,1990,1991
Nepal,D,1991,1998
Pakistan,S,1947,1958
Pakistan,A,1958,1969
Pakistan,T,1969,1972
Pakistan,S,1972,1977
Pakistan,A,1977,1988
Pakistan,D,1988,1990
Pakistan,S,1990,1998
Sri Lanka,D,1948,1983
Sri Lanka,S,1983,1998
Cambodia,A,1953,1955
Cambodia,S,1955,1957
Cambodia,A,1957,1993
Cambodia,S,1993,1998
China,A,1911,1998
Indonesia,D,1949,1957
Indonesia,A,1957,1998
North Korea,A,1948,1998
South Korea,D,1948,1948
South Korea,A,1948,1960
South Korea,T,1960,1960
South Korea,D,1960,1961
South Korea,A,1961,1987
South Korea,T,1987,1988
South Korea,D,1988,1998
Laos,A,1954,1956
Laos,S,1956,1957
Laos,D,1957,1959
Laos,A,1959,1998
Malaysia,D,1957,1969
Malaysia,A,1969,1971
Malaysia,S,1971,1998
Mongolia,A,1921,1988
Mongolia,T,1988,1990
Mongolia,D,1990,1998
Myanmar,D,1948,1962
Myanmar,A,1962,1998
Papua New Guinea,D,1975,1998
Philippines,S,1946,1953
Philippines,D,1953,1972
Philippines,A,1972,1986
Philippines,D,1986,1998
Singapore,S,1965,1998
Taiwan,A,1949,1988
Taiwan,T,1988,1991
Taiwan,S,1991,1996
Taiwan,D,1996,1998
Thailand,A,1932,1946
Thailand,S,1946,1947
Thailand,A,1947,1973
Thailand,T,1973,1975
Thailand,D,1975,1976
Thailand,A,1976,1986
Thailand,S,1986,1991
Thailand,A,1991,1992
Thailand,D,1992,1998
Vietnam South,A,1954,1975
Vietnam North,A,1954,1998
Angola,A,1975,1998
Benin,D,1960,1963
Benin,A,1963,1990
Benin,T,1990,1991
Benin,D,1991,1998
Burkina Faso,A,1960,1969
Burkina Faso,T,1969,1971
Burkina Faso,S,1971,1974
Burkina Faso,A,1974,1977
Burkina Faso,T,1977,1978
Burkina Faso,D,1978,1980
Burkina Faso,A,1980,1992
Burkina Faso,S,1992,1998
Burundi,A,1962,1992
Burundi,T,1992,1993
Burundi,S,1993,1996
Burundi,A,1996,1998
Cameroon,A,1960,1998
Central Africa Republic,A,1960,1991
Central Africa Republic,T,1991,1993
Central Africa Republic,S,1993,1998
Chad,D,1960,1962
Chad,A,1962, 1996
Chad,S,1996,1998
Congo,D,1960,1963
Congo,A,1963,1991
Congo,T,1991,1992
Congo,D,1992,1993
Congo,S,1993,1997
