country,start_year,regime,end_year
Estonia,1991,A,NA
Ethiopia,1855,A,NA
Ethiopia,1936,I,NA
Ethiopia,1942,A,NA
Ethiopia,1991,I,NA
Ethiopia,1994,A,NA
Fiji,1970,D,NA
Fiji,1987,A,NA
Finland,1916,A,NA
Finland,1917,D,NA
Finland,1930,I,NA
Finland,1931,A,NA
Finland,1944,D,NA
France,1800,A,NA
France,1851,I,NA
France,1852,A,NA
France,1860,I,NA
France,1863,A,NA
France,1870,I,NA
France,1877,A,NA
France,1944,I,NA
France,1946,D,NA
France,1958,A,NA
France,1969,D,NA
Gabon,1961,A,NA
Gabon,1990,I,NA
Gabon,1991,A,NA
Gambia,1965,A,NA
Gambia,1966,D,NA
Gambia,1994,A,NA
Georgia,1991,A,NA
German Democratic Republic,1949,A,1989
Germany,1800,A,NA
Germany,1807,I,NA
Germany,1813,A,NA
Germany,1868,I,NA
Germany,1871,A,NA
Germany,1918,I,NA
Germany,1919,D,NA
Germany,1933,A,NA
Germany,1946,I,NA
Germany,1949,D,NA
Ghana,1960,A,NA
Ghana,1969,I,NA
Ghana,1970,A,NA
Ghana,1978,I,NA
Ghana,1979,D,NA
Ghana,1981,A,NA
Ghana,1991,I,NA
Ghana,1992,A,NA
Gran Colombia,1821,A,1830
Greece,1827,A,NA
Greece,1862,I,NA
Greece,1864,A,NA
Greece,1917,I,NA
Greece,1920,A,NA
Greece,1922,I,NA
Greece,1924,A,NA
Greece,1941,I,NA
Greece,1944,A,NA
Greece,1974,I,NA
Greece,1975,D,NA
Guatemala,1839,A,NA
Guatemala,1871,I,NA
Guatemala,1873,A,NA
Guatemala,1879,I,NA
Guatemala,1880,A,NA
Guatemala,1985,I,NA
Guatemala,1986,D,NA
Guinea,1958,A,NA
Guinea-Bissau,1974,A,NA
Guinea-Bissau,1994,D,NA
Guyana,1966,A,NA
Guyana,1992,D,NA
Haiti,1820,A,NA
Haiti,1915,I,NA
Haiti,1918,A,NA
Haiti,1946,I,NA
Haiti,1950,A,NA
Haiti,1986,I,NA
Haiti,1988,A,NA
Haiti,1990,D,NA
Haiti,1992,A,NA
Haiti,1994,D,NA
Honduras,1839,A,NA
Honduras,1853,I,NA
Honduras,1854,A,NA
Honduras,1907,I,NA
Honduras,1908,A,NA
Honduras,1912,I,NA
Honduras,1913,A,NA
Honduras,1919,I,NA
Honduras,1920,A,NA
Honduras,1924,I,NA
Honduras,1925,A,NA
Honduras,1981,I,NA
Honduras,1982,D,NA
Hungary,1867,A,NA
Hungary,1918,I,NA
Hungary,1919,A,NA
Hungary,1944,I,NA
Hungary,1948,A,NA
Hungary,1956,I,NA
Hungary,1957,A,NA
Hungary,1990,D,NA
Iceland,1918,A,NA
Iceland,1934,D,NA
India,1950,A,NA
India,1952,D,NA
Indonesia,1945,A,NA
Iran,1800,A,NA
Iran,1906,I,NA
Iran,1921,I,NA
Iran,1925,A,NA
Iran,1953,I,NA
Iran,1955,A,NA
Iraq,1924,A,NA
Ireland,1922,A,NA
Ireland,1923,D,NA
Israel,1949,D,NA
Italy,1861,A,NA
Italy,1922,I,NA
Italy,1928,A,NA
Italy,1943,I,NA
Italy,1945,I,NA
Italy,1948,D,NA
Ivory Coast,1960,A,NA
Jamaica,1959,D,NA
Japan,1800,A,NA
Japan,1858,I,NA
Japan,1868,A,NA
Japan,1945,I,NA
Japan,1952,D,NA
Jordan,1946,A,NA
Kazakhstan,1991,A,NA
Kenya,1965,A,NA
Korea,1800,A,1910
Kuwait,1963,A,NA
Kuwait,1990,I,NA
Kuwait,1991,A,NA
Kyrgyzstan,1991,D,NA
Laos,1954,I,NA
Laos,1958,A,NA
Laos,1971,I,NA
Laos,1975,A,NA
Latvia,1920,D,NA
Latvia,1934,A,NA
Latvia,1941,I,NA
Latvia,1991,A,NA
Lebanon,1944,A,NA
Lebanon,1971,D,NA
Lebanon,1976,I,NA
Lebanon,1990,A,NA
Lesotho,1966,D,NA
Lesotho,1970,A,NA
Lesotho,1993,D,NA
Liberia,1847,A,NA
Liberia,1990,I,NA
Libya,1951,A,NA
Lithuania,1918,A,NA
Lithuania,1926,I,NA
Lithuania,1928,A,NA
Lithuania,1941,I,NA
Lithuania,1991,D,NA
Luxembourg,1867,A,NA
Luxembourg,1919,D,NA
Luxembourg,1940,I,NA
Luxembourg,1945,D,NA
Macedonia,1991,D,NA
Madagascar,1961,A,NA
Madagascar,1992,I,NA
Madagascar,1993,D,NA
Malawi,1965,A,NA
Malawi,1994,D,NA
Malaysia,1957,D,NA
Malaysia,1969,A,NA
Malaysia,1971,D,NA
Mali,1960,A,NA
Mali,1991,I,NA
Mali,1992,D,NA
Mauritania,1961,A,NA
Mauritius,1969,D,NA
Mexico,1822,A,NA
Mexico,1834,I,NA
Mexico,1835,A,NA
Mexico,1846,I,NA
Mexico,1848,A,NA
Mexico,1863,I,NA
Mexico,1864,A,NA
Mexico,1876,I,NA
Mexico,1880,A,NA
Mexico,1911,I,NA
Mexico,1917,A,NA
Modena,1815,A,1860
Moldova,1991,A,NA
Mongolia,1924,A,NA
Mongolia,1993,D,NA
Morocco,1800,A,NA
Morocco,1912,I,NA
Morocco,1956,A,NA
Mozambique,1976,A,NA
Mozambique,1994,D,NA
Myanmar (Burma),1948,D,NA
Myanmar (Burma),1962,A,NA
Namibia,1990,D,NA
Nepal,1800,A,NA
Nepal,1958,I,NA
Nepal,1959,A,NA
Nepal,1991,D,NA
Netherlands,1815,A,NA
Netherlands,1922,D,NA
Netherlands,1940,I,NA
Netherlands,1945,D,NA
New Zealand,1857,A,NA
New Zealand,1893,D,NA
Nicaragua,1838,A,NA
Nicaragua,1926,I,NA
Nicaragua,1927,A,NA
Nicaragua,1979,I,NA
Nicaragua,1981,A,NA
Nicaragua,1990,D,NA
Niger,1959,A,NA
Niger,1991,I,NA
Niger,1993,D,NA
Nigeria,1960,A,NA
Nigeria,1978,I,NA
Nigeria,1979,D,NA
Nigeria,1984,A,NA
Norway,1814,A,NA
Norway,1921,D,NA
Norway,1940,I,NA
Norway,1945,D,NA
Oman,1800,A,NA
Oman,1957,I,NA
Oman,1959,A,NA
Orange Free State,1854,A,1902
Pakistan,1947,A,NA
Pakistan,1950,D,NA
Pakistan,1958,A,NA
Pakistan,1993,D,NA
Panama,1903,A,NA
Panama,1990,D,NA
Papal States,1815,A,1870
Papua New Guinea,1976,A,NA
Papua New Guinea,1977,D,NA
Paraguay,1816,A,NA
Paraguay,1868,I,NA
Paraguay,1870,A,NA
Paraguay,1989,D,NA
Parma,1815,A,1860
Peru,1821,A,NA
Peru,1825,I,NA
Peru,1828,A,NA
Peru,1881,I,NA
Peru,1882,A,NA
Peru,1919,I,NA
Peru,1920,A,NA
Peru,1930,I,NA
Peru,1933,A,NA
Peru,1978,I,NA
Peru,1980,D,NA
Peru,1992,A,NA
Philippines,1935,A,NA
Philippines,1941,I,NA
Philippines,1945,A,NA
Philippines,1950,D,NA
Philippines,1969,A,NA
Philippines,1986,I,NA
Philippines,1987,D,NA
Poland,1918,A,NA
Poland,1922,D,NA
Poland,1926,A,NA
Poland,1939,I,NA
Poland,1948,A,NA
Poland,1991,D,NA
Portugal,1800,A,NA
Portugal,1801,I,NA
Portugal,1802,A,NA
Portugal,1807,I,NA
Portugal,1820,I,NA
Portugal,1823,A,NA
Portugal,1833,I,NA
Portugal,1834,A,NA
Portugal,1910,I,NA
Portugal,1911,A,NA
Portugal,1926,I,NA
Portugal,1930,A,NA
Portugal,1974,I,NA
Portugal,1976,D,NA
Republic of Korea,1948,A,NA
Republic of Korea,1960,D,NA
Republic of Korea,1961,A,NA
Republic of Korea,1988,D,NA
Republic of Vietnam,1955,A,1975
Romania,1859,A,NA
Romania,1916,I,NA
Romania,1917,A,NA
Romania,1940,I,NA
Romania,1941,A,NA
Romania,1944,I,NA
Romania,1948,A,NA
Romania,1989,I,NA
Romania,1990,D,NA
Russia,1800,A,NA
Russia,1812,I,NA
Russia,1813,A,NA
Russia,1905,I,NA
